#,Player,GP,G,A,PTS,SH,SH%,+/-,PPG,SHG,FG,GWG,GTG,OTG,HTG,UAG,PN-PIM,MIN,MAJ,OTH,BLK,Bio Link
23,"Catalano, Christian  Catalano, Christian",17,6,7,13,45,0.133,4,2,0,1,2,0,0,0,1,10-20,10,0,0,5,View Bio
12,"Isabelle, Simon  Isabelle, Simon",17,4,7,11,28,0.143,4,0,1,0,0,0,0,0,0,5-10,5,0,0,14,View Bio
7,"Brimmer, Austin  Brimmer, Austin",17,5,5,10,23,0.217,7,1,0,2,0,0,0,0,1,3-6,3,0,0,5,View Bio
26,"Konyen, Evan  Konyen, Evan",16,4,5,9,28,0.143,1,1,0,1,1,0,0,0,0,3-6,3,0,0,2,View Bio
8,"Wigle, Zach  Wigle, Zach",17,4,5,9,23,0.174,3,1,0,1,2,0,0,0,0,2-4,2,0,0,14,View Bio
27,"Stewart, Crossley  Stewart, Crossley",17,1,8,9,19,0.053,-1,0,0,0,1,0,0,0,0,2-4,2,0,0,9,View Bio
17,"Allen, Tristan  Allen, Tristan",17,0,9,9,17,0.0,6,0,0,0,0,0,0,0,0,6-12,6,0,0,17,View Bio
14,"Mahan, Tyler  Mahan, Tyler",17,6,2,8,28,0.214,1,0,0,2,0,0,0,0,0,0-0,0,0,0,12,View Bio
11,"Elfering, Caleb  Elfering, Caleb",17,4,4,8,24,0.167,0,0,0,0,1,0,0,0,0,3-6,3,0,0,7,View Bio
22,"Moore, William  Moore, William",17,3,4,7,32,0.094,4,1,0,0,2,0,0,0,1,4-8,4,0,0,12,View Bio
20,"Roger, Ben  Roger, Ben",16,1,5,6,16,0.063,-2,0,0,1,0,0,0,0,0,2-4,2,0,0,14,View Bio
24,"Croucher, Mason  Croucher, Mason",17,1,4,5,37,0.027,6,0,0,0,0,0,0,0,0,2-4,2,0,0,15,View Bio
21,"Cobetto-Roy, Mathieu  Cobetto-Roy, Mathieu",10,1,3,4,18,0.056,-1,0,0,0,0,0,0,0,0,4-8,4,0,0,4,View Bio
6,"Skalos, Boris  Skalos, Boris",12,1,3,4,17,0.059,-2,0,0,0,0,0,0,0,0,0-0,0,0,0,7,View Bio
10,"Jacques, Philippe  Jacques, Philippe",14,2,1,3,15,0.133,-3,0,0,0,1,0,0,0,0,4-8,4,0,0,8,View Bio
16,"Whyte, Ty  Whyte, Ty",11,1,1,2,13,0.077,0,0,0,0,0,0,0,0,0,2-4,2,0,0,4,View Bio
15,"Jeffery, Adam  Jeffery, Adam",8,0,2,2,5,0.0,1,0,0,0,0,0,0,0,0,0-0,0,0,0,5,View Bio
19,"Bajzer, Camden  Bajzer, Camden",11,1,0,1,10,0.1,0,0,0,0,0,0,0,0,1,1-2,1,0,0,7,View Bio
3,"Williams, Ryan  Williams, Ryan",13,1,0,1,8,0.125,9,0,0,0,0,0,0,0,0,3-6,3,0,0,9,View Bio
2,"Reinhart, Brock  Reinhart, Brock",12,0,1,1,5,0.0,-4,0,0,0,0,0,0,0,0,2-4,2,0,0,10,View Bio
18,"Scott, Kevin  Scott, Kevin",15,0,1,1,11,0.0,7,0,0,0,0,0,0,0,0,5-21,3,1,1,24,View Bio
5,"Blom, Gustav  Blom, Gustav",9,0,0,0,7,0.0,-4,0,0,0,0,0,0,0,0,1-2,1,0,0,4,View Bio
32,"Burnham, Trent  Burnham, Trent",2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0-0,0,0,0,0,View Bio
25,"Christopoulos, Alex  Christopoulos, Alex",5,0,0,0,9,0.0,-1,0,0,0,0,0,0,0,0,0-0,0,0,0,2,View Bio
1,"Krbecek, Jakub  Krbecek, Jakub",15,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0-0,0,0,0,0,View Bio
33,"Mackenzie, Collin  Mackenzie, Collin",1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0-0,0,0,0,0,View Bio
TM,Team  Team,17,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0-0,0,0,0,0,
,Total,17,46,77,123,438,0.105,35,6,1,8,10,0,0,0,4,64-139,62,1,1,210,
,Opponents,17,38,58,96,426,0.089,-45,5,0,9,7,0,1,0,4,70-140,70,0,0,253,
